glottocode,num_oral_cons,num_nasal_cons,num_oral_vowel,num_nasal_vowel,name,isocodes,level,macroarea,latitude,longitude
cent2050,21.0,4.0,6.0,0.0,Central Kanuri,knc,language,Africa,11.8,13.13
lugb1240,24.0,3.0,10.0,2.0,Lugbara,lgg,language,Africa,3.02245,30.8642
nobi1240,27.0,6.0,10.0,0.0,Nobiin,fia,language,Africa,22.8142,31.8376
luok1236,19.0,4.0,9.0,0.0,Luo (Kenya and Tanzania),luo,language,Africa,-0.93296,34.4896
masa1300,17.0,4.0,18.0,0.0,Masai,mas,language,Africa,-3.1419,36.4573
iris1253,38.0,10.0,10.0,10.0,Irish,gle,language,Eurasia,53.2186,-7.61509
bret1244,20.0,5.0,15.0,2.0,Breton,bre,language,Eurasia,48.2452,-3.78934
icel1247,19.0,4.0,16.0,0.0,Icelandic,isl,language,Eurasia,63.4837,-19.0212
norw1259,19.0,5.0,22.0,0.0,Norwegian Bokmål,nob,dialect,Eurasia,61.112,8.886
stan1293,24.0,3.0,13.0,0.0,English,eng,language,Eurasia,53.0,-1.0
stan1295,20.0,3.0,16.0,0.0,German,deu,language,Eurasia,48.649,12.4676
stan1290,19.0,4.0,13.0,4.0,French,fra,language,Eurasia,48.0,2.0
port1283,18.0,5.0,10.0,5.0,Portuguese,por,language,Eurasia,39.91,-8.1
stan1288,17.0,3.0,5.0,0.0,Spanish,spa,language,Eurasia,40.4414,-1.11788
roma1327,22.0,2.0,7.0,0.0,Romanian,ron,language,Eurasia,46.3913,24.2256
russ1263,29.0,4.0,5.0,0.0,Russian,rus,language,Eurasia,59.0,50.0
bulg1262,33.0,4.0,6.0,6.0,Bulgarian,bul,language,Eurasia,43.3646,25.047
lith1251,32.0,4.0,11.0,0.0,Lithuanian,lit,language,Eurasia,55.1429,23.9601
tosk1239,25.0,3.0,7.0,0.0,Northern Tosk Albanian,als,language,Eurasia,41.0,20.0
mode1248,19.0,2.0,5.0,0.0,Modern Greek,ell,language,Eurasia,38.36,23.13
nucl1235,29.0,2.0,6.0,0.0,Eastern Armenian,hye,language,Eurasia,40.0,45.0
west2369,22.0,2.0,6.0,0.0,Western Farsi,pes,language,Eurasia,32.9,53.3
cent1973,28.0,3.0,7.0,0.0,Central Pashto,pst,language,Eurasia,31.9153,69.4529
kash1277,25.0,2.0,15.0,14.0,Kashmiri,kas,language,Eurasia,34.166825,74.330455
panj1256,43.0,7.0,10.0,10.0,Eastern Panjabi,pan,language,Eurasia,30.0368,75.6702
hind1269,64.0,7.0,13.0,10.0,Hindi,hin,language,Eurasia,25.0,77.0
beng1280,33.0,5.0,8.0,7.0,Bengali,ben,language,Eurasia,24.0,90.0
sinh1246,30.0,7.0,14.0,2.0,Sinhala,sin,language,Eurasia,8.0,81.0
basq1248,20.0,3.0,5.0,0.0,Basque,eus,language,Eurasia,43.2787,-1.31622
finn1318,21.0,5.0,16.0,0.0,Finnish,fin,language,Eurasia,64.7628,25.5577
east2328,21.0,4.0,9.0,0.0,Eastern Mari,mhr,language,Eurasia,55.8307,48.405
komi1268,26.0,3.0,7.0,0.0,Komi-Zyrian,kpv,language,Eurasia,64.0527,54.946
hung1274,44.0,6.0,15.0,0.0,Hungarian,hun,language,Eurasia,46.9068585714,19.6555271429
khan1273,14.0,5.0,13.0,0.0,Kazym-Berezover-Suryskarer Khanty,kca,language,Eurasia,62.4308,66.1218
nene1249,21.0,5.0,8.0,0.0,Tundra Nenets,yrk,language,Eurasia,66.1775,71.0234
nucl1301,22.0,2.0,16.0,0.0,Turkish,tur,language,Eurasia,39.8667,32.8667
nort2697,23.0,2.0,9.0,0.0,North Azerbaijani,azj,language,Eurasia,40.97768,46.4737
kirg1245,17.0,3.0,16.0,0.0,Kirghiz,kir,language,Eurasia,42.0,74.0
chuv1255,25.0,5.0,9.0,0.0,Chuvash,chv,language,Eurasia,55.48701,47.16298
yaku1245,24.0,9.0,16.0,0.0,Sakha,sah,language,Eurasia,61.69744,133.98031
halh1238,19.0,2.0,14.0,0.0,Halh Mongolian,khk,language,Eurasia,48.32397,106.28874
even1260,14.0,4.0,18.0,0.0,Even,eve,language,Eurasia,70.6687,130.914
nort2745,16.0,4.0,12.0,0.0,Northern Yukaghir,ykg,language,Eurasia,70.498,157.853
gily1242,30.0,4.0,10.0,0.0,Amur Nivkh,niv,language,Eurasia,52.59,140.681
chuk1273,12.0,3.0,7.0,0.0,Chukchi,ckt,language,Eurasia,68.6436,170.045
ainu1240,10.0,2.0,5.0,0.0,Hokkaido Ainu,ain,language,Eurasia,43.633654,142.46167
nucl1643,24.0,3.0,10.0,1.0,Japanese,jpn,language,Eurasia,35.0,135.0
afad1236,25.0,2.0,9.0,0.0,Afade,aal,language,Africa,12.0551,14.6343
achu1247,15.0,2.0,6.0,0.0,Achumawi,acv,language,North America,41.0979,-121.191
east2379,15.0,12.0,3.0,0.0,Eastern Arrernte,aer,language,Australia,-23.3583,135.046
amel1241,13.0,2.0,5.0,0.0,Amele,aey,language,Papunesia,-5.29126,145.687
anga1290,8.0,4.0,9.0,0.0,Angaataha,agm,language,Papunesia,-7.15012,146.352
aghe1239,20.0,5.0,10.0,0.0,Aghem,agq,language,Africa,6.38956,10.0807
apro1235,20.0,4.0,9.0,0.0,Aproumu Aizi,ahp,language,Africa,5.20273,-4.52192
ahte1237,27.0,3.0,5.0,0.0,Ahtena,aht,language,North America,61.7068,-144.889
akaw1239,11.0,2.0,10.0,0.0,Akawaio-Ingariko,ake,language,South America,6.16277,-60.862
qawa1238,14.0,2.0,3.0,0.0,Qawasqar,alc,language,South America,-49.303195,-74.707536
alla1248,22.0,3.0,8.0,3.0,Alladian,ald,language,Africa,5.22371,-4.42647
hame1242,21.0,4.0,10.0,0.0,Hamer-Banna,amf,language,Africa,5.06515,36.5176
amoo1242,21.0,4.0,10.0,0.0,Amo,amo,language,Africa,10.3229,8.65405
alam1246,15.0,3.0,7.0,0.0,Alamblak,amp,language,Papunesia,-4.66307,143.316
guer1243,18.0,7.0,7.0,5.0,Guerrero Amuzgo,amu,language,North America,16.77226,-98.18953
ando1256,11.0,0.0,9.0,6.0,Andoque,ano,language,South America,-0.53751,-72.0869
apuc1241,12.0,4.0,8.0,0.0,Apucikwar,apq,language,Eurasia,12.241,92.7965
arch1244,79.0,2.0,10.0,0.0,Archi,aqc,language,Eurasia,42.3239,46.8267
arab1268,9.0,2.0,7.0,0.0,Arabela,arl,language,South America,-1.96126,-75.0612
waor1240,7.0,4.0,5.0,5.0,Waorani,auc,language,South America,-1.12312,-76.683
avar1256,42.0,2.0,5.0,0.0,Avar,ava,language,Eurasia,41.7047,46.558
abip1241,12.0,3.0,5.0,0.0,Abipon,axb,language,South America,-29.0,-61.0
bash1264,24.0,3.0,11.0,0.0,Bashkir,bak,language,Eurasia,53.59671,56.55937
bamb1269,17.0,4.0,7.0,7.0,Bambara,bam,language,Africa,12.9,-7.65
baat1238,16.0,2.0,7.0,5.0,Baatonum,bba,language,Africa,9.63186,2.99607
bats1242,33.0,2.0,5.0,5.0,Bats,bbl,language,Eurasia,42.1806,45.344
nort2819,17.0,4.0,7.0,5.0,Northern Bobo Madaré,bbo,language,Africa,12.4182,-4.47538
cent2004,15.0,3.0,11.0,0.0,Central Bai,bca,language,Eurasia,26.1666,99.7052
bard1255,12.0,5.0,7.0,0.0,Bardi,bcj,language,Australia,-16.6274,122.906
kohu1244,23.0,5.0,10.0,0.0,Kohumono,bcs,language,Africa,5.92596,7.96202
indo1317,15.0,11.0,6.0,0.0,Indonesian Bajau,bdl,language,Papunesia,-3.68664,122.253
twee1234,8.0,4.0,4.0,0.0,Tweed-Albert,xjb,language,Australia,-28.028726,153.286993
beja1238,19.0,2.0,5.0,0.0,Beja,bej,language,Africa,17.2436,36.6666
dalo1238,19.0,5.0,13.0,0.0,Daloa Bété,bev,language,Africa,6.69281,-6.63944
biss1248,14.0,4.0,6.0,0.0,Bissa,bib,language,Africa,10.4257,-1.67332
baka1277,15.0,2.0,7.0,5.0,Bakairí,bkq,language,South America,-14.2628,-54.7034
bell1243,26.0,2.0,3.0,0.0,Bella Coola,blc,language,North America,52.3448,-126.689
muin1242,19.0,3.0,6.0,0.0,Muinane,bmr,language,South America,-0.8652,-72.4249
bero1242,19.0,3.0,7.0,0.0,Berom,bom,language,Africa,9.67037,8.81221
boro1282,11.0,2.0,7.0,0.0,Bororo,bor,language,South America,-16.6029,-55.2004
lave1249,17.0,5.0,9.0,0.0,Brao,brb,language,Eurasia,14.5994,107.008
brah1256,22.0,2.0,9.0,0.0,Brahui,brh,language,Eurasia,29.04,66.56
west2397,16.0,4.0,22.0,0.0,Western Bru,brv,language,Eurasia,16.4906,104.754
bodo1269,12.0,3.0,6.0,0.0,Bodo-Mech,brx,language,Eurasia,26.1,92.0
bura1267,11.0,5.0,5.0,0.0,Burarra,bvr,language,Australia,-12.3061,134.365
qaqe1238,8.0,6.0,8.0,0.0,Qaqet,byx,language,Papunesia,-4.45258,151.702
brib1243,15.0,3.0,5.0,4.0,Bribri,bzd,language,North America,9.39794,-83.0539
cadd1256,17.0,3.0,3.0,0.0,Caddo,cad,language,North America,33.33,-93.5
niva1238,20.0,2.0,6.0,0.0,Nivaclé,cag,language,South America,-22.8557,-61.7606
carn1240,12.0,4.0,9.0,0.0,Car Nicobarese,caq,language,Eurasia,9.18853,92.7671
nyah1250,20.0,6.0,24.0,0.0,Nyahkur,cbn,language,Eurasia,15.8909,101.515
cacu1241,9.0,3.0,5.0,5.0,Kakua,cbv,language,South America,0.88778,-69.5659
mind1253,11.0,3.0,7.0,0.0,Min Dong Chinese,cdo,language,Eurasia,26.0,119.5
quio1240,18.0,8.0,8.0,7.0,Quiotepec Chinantec,chq,language,North America,17.5621,-96.602
cher1273,9.0,2.0,5.0,1.0,Cherokee,chr,language,North America,35.4664,-83.163
uppe1439,28.0,2.0,4.0,0.0,Upper Chehalis,cjh,language,North America,46.7981,-123.169
chua1250,10.0,2.0,5.0,0.0,Chuave,cjv,language,Papunesia,-6.17824,145.139
haka1240,36.0,9.0,7.0,0.0,Haka Chin,cnh,language,Eurasia,22.8735,92.8208
cofa1242,27.0,3.0,5.0,0.0,Cofán,con,language,South America,0.276675,-77.0643
wame1240,23.0,16.0,7.0,0.0,Wamey,cou,language,Africa,12.5421,-13.177
chua1256,25.0,21.0,10.0,0.0,Chuanqiandian Cluster Miao,cqd,language,Eurasia,22.5638,101.95
tedi1235,18.0,3.0,5.0,0.0,Tedim Chin,ctd,language,Eurasia,23.6079,93.519
west2644,14.0,2.0,5.0,4.0,Western Highland Chatino,ctp,language,North America,16.2495,-97.3244
cube1242,11.0,0.0,6.0,6.0,Cubeo,cub,language,South America,1.32382,-70.1939
cayu1262,14.0,3.0,8.0,8.0,Cayubaba,cyb,language,South America,-13.2482,-65.4822
dang1274,17.0,4.0,7.0,0.0,Dangaleat,daa,language,Africa,12.1517,18.385
dann1241,17.0,2.0,12.0,8.0,Dan,daf,language,Africa,7.22812,-8.24535
darf1239,20.0,4.0,6.0,0.0,Dar Fur Daju,daj,language,Africa,12.2598,25.3127
daha1245,43.0,11.0,5.0,0.0,Dahalo,dal,language,Africa,-2.1843,40.37
dyir1250,9.0,4.0,3.0,0.0,Dyirbal,dbl,language,Australia,-17.4516,145.544
dier1241,16.0,6.0,3.0,0.0,Dieri,dif,language,Australia,-28.1667,138.0
nort2815,14.0,5.0,13.0,0.0,Northeastern Dinka,dip,language,Africa,9.27995,31.8392
lowe1415,10.0,2.0,12.0,0.0,Lower Grand Valley Dani,dni,language,Papunesia,-4.25684,138.992
nort2735,14.0,6.0,7.0,0.0,Northern Dong,doc,language,Eurasia,26.9944,109.204
doya1240,19.0,3.0,7.0,5.0,Doyayo,dow,language,Africa,8.68604,13.0768
ruka1240,20.0,3.0,4.0,0.0,Rukai,dru,language,Papunesia,22.7738,120.844
daur1238,19.0,3.0,7.0,0.0,Dagur,dta,language,Eurasia,48.0,124.0
toro1252,13.0,3.0,7.0,5.0,Toro So Dogon,dts,language,Africa,14.40749,-3.10006
dhuw1249,14.0,6.0,3.0,0.0,Dhuwal,duj,language,Australia,-12.7825,136.008
jola1263,15.0,4.0,10.0,0.0,Jola-Fonyi,dyo,language,Africa,12.75752,-15.7354766667
efik1245,9.0,4.0,7.0,0.0,Efik,efi,language,Africa,4.89379,8.38121
ekar1243,8.0,2.0,5.0,0.0,Ekari,ekg,language,Papunesia,-3.88974,136.018
cent2128,24.0,8.0,4.0,0.0,Central Siberian Yupik,ess,language,Eurasia,63.4308,-170.272
ejag1239,16.0,4.0,7.0,0.0,Ejagham,etu,language,Africa,5.54442,8.90959
